output_prefix	name	motif_id	cluster	total_tfbs	abnormal_mean_score	abnormal_bound	normal_mean_score	normal_bound	abnormal_normal_change	abnormal_normal_pvalue
MEIS2_MA0774.1	MEIS2	MA0774.1	C_MEIS2	7453	0.7547	1983	0.80761	2072	-0.02671	4.10384E-38
MEIS3_MA0775.1	MEIS3	MA0775.1	C_MEIS2	7456	0.75914	2019	0.81105	2110	-0.03354	1.50853E-52
MYBL1_MA0776.1	MYBL1	MA0776.1	C_MYBL1	1638	0.73714	457	0.78699	447	-0.02321	7.58113E-16
MYBL2_MA0777.1	MYBL2	MA0777.1	C_MYBL2	1765	0.67851	408	0.71249	402	0.0132	7.92028E-13
NFKB1_MA0105.4	NFKB1	MA0105.4	C_NFKB1	5999	0.73926	1569	0.79095	1588	-0.00019	4.68232E-01
NFKB2_MA0778.1	NFKB2	MA0778.1	C_NFKB1	6246	0.74599	1685	0.79666	1715	0.00044	9.28740E-01
PAX1_MA0779.1	PAX1	MA0779.1	C_PAX9	2989	0.86733	986	0.92263	1011	0.00657	2.20993E-03
PAX3_MA0780.1	PAX3	MA0780.1	C_Pax7	4945	0.48886	588	0.51279	549	0.00537	2.63461E-03
PAX9_MA0781.1	PAX9	MA0781.1	C_PAX9	3477	0.86793	1145	0.9147	1223	0.01436	2.51964E-14
PKNOX2_MA0783.1	PKNOX2	MA0783.1	C_PKNOX2	8363	0.71008	2053	0.76155	2054	-0.02766	1.22468E-49
POU2F1_MA0785.1	POU2F1	MA0785.1	C_POU3F3	13909	0.50982	1870	0.54013	1786	-0.01449	8.62253E-38
POU3F1_MA0786.1	POU3F1	MA0786.1	C_POU3F3	16301	0.5022	2022	0.53018	1954	-0.01094	1.08551E-27
POU3F2_MA0787.1	POU3F2	MA0787.1	C_POU3F3	15074	0.51995	2009	0.54864	1957	-0.00918	2.45533E-15
POU3F3_MA0788.1	POU3F3	MA0788.1	C_POU3F3	17945	0.47505	2013	0.50395	1895	-0.02229	1.77433E-49
POU3F4_MA0789.1	POU3F4	MA0789.1	C_POU3F3	9872	0.5652	1657	0.59781	1606	-0.01727	5.72157E-29
POU4F1_MA0790.1	POU4F1	MA0790.1	C_POU4F3	17457	0.5103	2123	0.54086	1939	0.00154	3.32628E-02
POU4F3_MA0791.1	POU4F3	MA0791.1	C_POU4F3	17749	0.56034	2223	0.58419	2034	0.00269	8.06933E-02
POU5F1B_MA0792.1	POU5F1B	MA0792.1	C_POU3F3	11372	0.55272	1823	0.58362	1768	-0.01543	9.93149E-30
POU6F2_MA0793.1	POU6F2	MA0793.1	C_POU6F2	8179	0.56242	1350	0.59036	1286	-0.00649	1.03831E-05
PROX1_MA0794.1	PROX1	MA0794.1	C_PROX1	3579	0.70106	845	0.7503	873	0.00085	5.88658E-01
RFX2_MA0600.2	RFX2	MA0600.2	C_RFX2	3764	0.99114	1335	1.01324	1366	-0.0009	6.16604E-01
SMAD3_MA0795.1	SMAD3	MA0795.1	C_SMAD3	3064	0.69589	725	0.73926	717	-0.0169	1.23648E-16
TGIF1_MA0796.1	TGIF1	MA0796.1	C_PKNOX2	7523	0.69237	1776	0.75045	1797	-0.04425	3.58382E-61
TGIF2_MA0797.1	TGIF2	MA0797.1	C_PKNOX2	7183	0.70394	1740	0.75497	1731	-0.02745	1.48582E-42
RFX5_MA0510.2	RFX5	MA0510.2	C_RFX2	4259	0.98494	1520	1.00876	1579	0.00825	3.59741E-07
RUNX2_MA0511.2	RUNX2	MA0511.2	C_Bcl11B	6878	0.85402	2384	0.85736	2179	0.09988	7.51885E-90
EOMES_MA0800.1	EOMES	MA0800.1	C_TBX3	8511	0.65798	1834	0.69715	1784	-0.01372	4.34807E-21
MGA_MA0801.1	MGA	MA0801.1	C_TBX4	8101	0.73531	2103	0.7818	2112	-0.02413	2.13743E-43
TBR1_MA0802.1	TBR1	MA0802.1	C_TBX3	9034	0.66766	1985	0.71149	1946	-0.02562	1.91337E-44
TBX15_MA0803.1	TBX15	MA0803.1	C_TBX4	7899	0.7516	2141	0.81194	2203	-0.03958	4.13734E-59
TBX19_MA0804.1	TBX19	MA0804.1	C_TBX19	3764	0.61378	723	0.64877	728	-0.01006	1.21801E-10
TBX1_MA0805.1	TBX1	MA0805.1	C_TBX4	8695	0.73062	2242	0.78825	2303	-0.03787	1.29262E-56
TBX4_MA0806.1	TBX4	MA0806.1	C_TBX4	6446	0.71974	1644	0.78144	1668	-0.05204	1.06949E-56
TBX5_MA0807.1	TBX5	MA0807.1	C_TBX4	11575	0.79461	3454	0.85034	3509	-0.01895	5.19119E-36
TEAD3_MA0808.1	TEAD3	MA0808.1	C_TEAD4	8494	0.81489	2461	0.84474	2424	0.0255	9.78844E-41
TFAP2A_MA0810.1	TFAP2A	MA0810.1	C_TFAP2A	12690	0.94175	5003	0.99644	5146	0.03072	4.98791E-57
TFAP2B_MA0811.1	TFAP2B	MA0811.1	C_TFAP2A	10305	0.91952	3935	0.97585	4031	0.01854	5.89909E-34
TFAP2B_MA0812.1	TFAP2B	MA0812.1	C_TFAP2C	10279	0.9461	4096	1.00246	4265	0.02547	2.21088E-48
TFAP2B_MA0813.1	TFAP2B	MA0813.1	C_TFAP2C	9411	0.93274	3628	0.98582	3767	0.02937	1.90102E-51
TFAP2C_MA0524.2	TFAP2C	MA0524.2	C_TFAP2A	10015	0.91942	3796	0.97674	3896	0.02066	2.45564E-36
TFAP2C_MA0815.1	TFAP2C	MA0815.1	C_TFAP2C	8239	0.94526	3242	0.99814	3358	0.0349	3.16220E-54
Ascl2_MA0816.1	Ascl2	MA0816.1	C_Ascl2	14013	0.82209	4490	0.88233	4672	-0.02728	1.07563E-49
Atoh1_MA0461.2	Atoh1	MA0461.2	C_Atoh1	3839	0.58356	669	0.64023	676	-0.06768	4.21452E-70
BHLHE40_MA0464.2	BHLHE40	MA0464.2	C_ARNT2	2753	1.07208	1291	1.14197	1357	0.004	5.69548E-02
BHLHE23_MA0817.1	BHLHE23	MA0817.1	C_Atoh1	3570	0.54173	539	0.58008	531	-0.03304	8.57174E-33
FIGLA_MA0820.1	FIGLA	MA0820.1	C_Rbpjl	11633	0.76326	3281	0.82033	3391	-0.02369	6.11660E-50
HES7_MA0822.1	HES7	MA0822.1	C_HES7	3515	0.88584	1251	0.94962	1310	-0.0123	1.09502E-14
HEY1_MA0823.1	HEY1	MA0823.1	C_HEY2	3529	0.97739	1416	1.03198	1466	0.02151	3.09490E-22
MAX_MA0058.3	MAX	MA0058.3	C_MYC	3645	0.99052	1538	1.05804	1609	-0.00958	2.33900E-04
MNT_MA0825.1	MNT	MA0825.1	C_MYC	3823	0.96168	1538	1.0201	1599	0.00736	4.30275E-07
OLIG1_MA0826.1	OLIG1	MA0826.1	C_Atoh1	3189	0.55096	492	0.59599	476	-0.04955	2.36109E-52
OLIG3_MA0827.1	OLIG3	MA0827.1	C_Atoh1	3581	0.55343	557	0.59795	534	-0.04522	1.74069E-52
Tcf21_MA0832.1	Tcf21	MA0832.1	C_Tcf21	6703	0.75472	1854	0.79911	1847	-0.0125	1.81732E-16
ATF7_MA0834.1	ATF7	MA0834.1	C_FOSL2::JUNB	3027	1.05334	1330	1.12267	1391	0.01151	9.11139E-08
CEBPG_MA0838.1	CEBPG	MA0838.1	C_CEBPA	2603	0.76594	739	0.82328	749	-0.01645	1.26589E-14
CREB3L1_MA0839.1	CREB3L1	MA0839.1	C_CREB3	4085	0.91397	1517	0.97471	1601	-0.00401	2.09978E-05
Creb5_MA0840.1	Creb5	MA0840.1	C_FOSL2::JUNB	3813	0.99014	1559	1.05551	1622	0.00809	8.10507E-05
Mafb_MA0117.2	Mafb	MA0117.2	C_MAFF	9018	0.66127	1924	0.70792	1996	-0.02539	1.62792E-43
NFE2_MA0841.1	NFE2	MA0841.1	C_FOSL1	8450	0.97008	3518	0.98753	3489	0.08399	2.59926E-91
TEF_MA0843.1	TEF	MA0843.1	C_NFIL3	3651	0.64669	759	0.67576	712	0.00736	8.84596E-08
XBP1_MA0844.1	XBP1	MA0844.1	C_XBP1	2908	0.91821	1075	0.97433	1116	-0.0049	1.10387E-03
FOXB1_MA0845.1	FOXB1	MA0845.1	C_FOXC2	21694	0.57209	3691	0.60584	3586	-0.00269	7.73094E-05
FOXC1_MA0032.2	FOXC1	MA0032.2	C_FOXC2	25507	0.55948	4196	0.58718	4045	0.01247	2.77606E-32
FOXC2_MA0846.1	FOXC2	MA0846.1	C_FOXC2	29007	0.57392	4966	0.60181	4870	0.01519	1.77158E-45
FOXO4_MA0848.1	FOXO4	MA0848.1	C_Foxj3	12568	0.6806	2925	0.7181	2962	0.00954	8.24867E-20
FOXO6_MA0849.1	FOXO6	MA0849.1	C_Foxj3	12568	0.6806	2925	0.7181	2962	0.00954	8.24867E-20
FOXP3_MA0850.1	FOXP3	MA0850.1	C_Foxj3	12568	0.6806	2925	0.7181	2962	0.00954	8.24867E-20
Foxj3_MA0851.1	Foxj3	MA0851.1	C_Foxj3	23450	0.57849	3944	0.60824	3859	0.01463	7.04533E-48
Alx4_MA0853.1	Alx4	MA0853.1	C_Alx1	5355	0.52488	763	0.54811	738	0.00979	1.46867E-09
Alx1_MA0854.1	Alx1	MA0854.1	C_Alx1	6083	0.52195	824	0.54384	798	0.01457	6.02963E-17
RXRB_MA0855.1	RXRB	MA0855.1	C_PPARD	10924	0.75934	3028	0.80994	3128	0.00087	5.93973E-01
RXRG_MA0856.1	RXRG	MA0856.1	C_PPARD	10705	0.75481	2942	0.80553	3015	-0.00046	3.09098E-01
Rarb_MA0857.1	Rarb	MA0857.1	C_Rarb	11818	0.64156	2372	0.68149	2375	-0.01388	4.14421E-23
Rarb_MA0858.1	Rarb	MA0858.1	C_Rarb	8499	0.74359	2267	0.79707	2304	-0.02295	1.73527E-42
Rarg_MA0859.1	Rarg	MA0859.1	C_Rarb	11896	0.63106	2271	0.67037	2314	-0.01076	5.18192E-18
Rarg_MA0860.1	Rarg	MA0860.1	C_Rarg	10390	0.72613	2707	0.77949	2745	-0.02928	1.42222E-52
TP63_MA0525.2	TP63	MA0525.2	C_TP63	3977	0.7206	976	0.75848	965	-0.00199	4.88099E-01
TP53_MA0106.3	TP53	MA0106.3	C_TP53	4059	0.74526	1087	0.79081	1090	-0.02647	2.77829E-29
TP73_MA0861.1	TP73	MA0861.1	C_TP73	4145	0.76088	1110	0.80459	1110	-0.01864	1.56044E-25
GMEB2_MA0862.1	GMEB2	MA0862.1	C_GMEB2	838	0.89538	289	0.9504	290	0.02213	5.47586E-09
MTF1_MA0863.1	MTF1	MA0863.1	C_MTF1	5631	0.84095	1853	0.906	2000	-0.01806	9.33843E-30
E2F1_MA0024.3	E2F1	MA0024.3	C_ZNF417	1579	0.97505	653	1.04686	715	0.0229	1.63505E-15
SOX21_MA0866.1	SOX21	MA0866.1	C_SOX21	9652	0.56651	1587	0.60208	1562	-0.02278	1.47367E-35
Sox1_MA0870.1	Sox1	MA0870.1	C_SOX21	8461	0.60339	1488	0.63466	1458	0.00549	8.14258E-07
TFAP2A_MA0872.1	TFAP2A	MA0872.1	C_TFAP2C	8507	0.93834	3305	0.99188	3447	0.02274	1.51483E-39
ELK1_MA0028.2	ELK1	MA0028.2	C_ETS1	6205	1.28578	3779	1.35116	3960	0.05644	8.30529E-65
HOXD12_MA0873.1	HOXD12	MA0873.1	C_HOXC10	4298	0.63867	892	0.67031	850	0.01271	1.33257E-14
Arx_MA0874.1	Arx	MA0874.1	C_Alx1	5567	0.50963	719	0.53011	670	0.0123	1.91542E-13
BARX1_MA0875.1	BARX1	MA0875.1	C_Dlx3	4949	0.59393	874	0.61861	841	0.01354	6.80588E-21
BSX_MA0876.1	BSX	MA0876.1	C_Dlx3	4680	0.59587	827	0.63434	825	-0.01085	9.30419E-17
Dlx3_MA0880.1	Dlx3	MA0880.1	C_Dlx3	5754	0.55041	860	0.57634	833	0.00301	7.70902E-02
Dlx4_MA0881.1	Dlx4	MA0881.1	C_Dlx3	5554	0.55871	858	0.58493	823	-0.0007	6.97611E-02
DLX6_MA0882.1	DLX6	MA0882.1	C_DLX6	6392	0.52894	895	0.55982	872	-0.02	3.25849E-27
Dmbx1_MA0883.1	Dmbx1	MA0883.1	C_Dmbx1	6473	0.57757	1059	0.61003	1038	-0.00541	7.64363E-05
EMX2_MA0886.1	EMX2	MA0886.1	C_EMX1	4436	0.52523	622	0.55638	600	-0.01879	4.02052E-20
EVX1_MA0887.1	EVX1	MA0887.1	C_EVX2	4238	0.58104	711	0.60656	703	0.00794	2.93440E-07
EVX2_MA0888.1	EVX2	MA0888.1	C_EVX2	4063	0.58006	684	0.61543	688	-0.01826	1.91072E-19
GBX1_MA0889.1	GBX1	MA0889.1	C_GBX2	3961	0.60111	693	0.63428	706	0.00089	7.38930E-01
GBX2_MA0890.1	GBX2	MA0890.1	C_GBX2	5393	0.56974	875	0.60182	885	-0.00654	2.17478E-10
GSC2_MA0891.1	GSC2	MA0891.1	C_OTX2	5429	0.63847	1026	0.67893	1044	-0.02187	3.77416E-27
GSX1_MA0892.1	GSX1	MA0892.1	C_EMX1	7202	0.53916	1067	0.56677	1034	-0.00286	5.13377E-01
HESX1_MA0894.1	HESX1	MA0894.1	C_EMX1	5668	0.54415	864	0.57431	834	-0.02019	1.54922E-27
HMBOX1_MA0895.1	HMBOX1	MA0895.1	C_HMBOX1	4705	0.64303	942	0.68427	975	-0.02074	9.73658E-22
Hmx1_MA0896.1	Hmx1	MA0896.1	C_Hmx3	7821	0.56762	1223	0.58833	1156	0.0228	4.41775E-34
Hmx2_MA0897.1	Hmx2	MA0897.1	C_Hmx3	10393	0.53667	1412	0.55285	1331	0.02952	2.74716E-52
Hmx3_MA0898.1	Hmx3	MA0898.1	C_Hmx3	11076	0.5053	1395	0.52433	1315	0.01514	2.53530E-31
HOXA10_MA0899.1	HOXA10	MA0899.1	C_HOXA10	15368	0.55245	2155	0.56776	2014	0.00791	1.06282E-15
HOXB3_MA0903.1	HOXB3	MA0903.1	C_EMX1	7749	0.57006	1264	0.59772	1236	0.00158	4.84142E-01
HOXC10_MA0905.1	HOXC10	MA0905.1	C_HOXC10	7260	0.58132	1236	0.60275	1148	0.01554	2.72123E-22
HOXC12_MA0906.1	HOXC12	MA0906.1	C_HOXC10	5309	0.59241	959	0.62037	928	0.01049	2.78708E-10
HOXC13_MA0907.1	HOXC13	MA0907.1	C_HOXC13	7039	0.5996	1305	0.63289	1291	0.00548	4.94489E-04
HOXD11_MA0908.1	HOXD11	MA0908.1	C_HOXC10	7285	0.56272	1140	0.58286	1077	0.01956	8.24359E-32
Hoxa11_MA0911.1	Hoxa11	MA0911.1	C_HOXC10	5361	0.59703	994	0.62535	941	0.00615	3.20565E-06
ISL2_MA0914.1	ISL2	MA0914.1	C_ISL2	5735	0.6303	1152	0.66085	1112	0.00661	3.00092E-08
FOXK1_MA0852.2	FOXK1	MA0852.2	C_Foxj3	16395	0.66406	3691	0.69546	3603	0.01951	3.53121E-41
GATA2_MA0036.3	GATA2	MA0036.3	C_GATA6	11157	0.62017	2154	0.66357	2185	-0.01026	4.93842E-17
HIF1A_MA1106.1	HIF1A	MA1106.1	C_HIF1A	2582	0.94181	982	1.00122	1048	0.00728	8.71284E-03
MYC_MA0147.3	MYC	MA0147.3	C_MYC	5147	0.97148	2110	1.02892	2217	0.01854	1.90103E-23
MYB_MA0100.3	MYB	MA0100.3	C_MYB	7101	0.71543	1763	0.75576	1780	-0.00394	3.31019E-02
MYCN_MA0104.4	MYCN	MA0104.4	C_MYC	3429	1.02642	1505	1.09163	1629	0.00933	1.95085E-09
NEUROD1_MA1109.1	NEUROD1	MA1109.1	C_Neurod2	11276	0.72156	2879	0.77273	2929	-0.031	3.90436E-54
NFIC_MA0161.2	NFIC	MA0161.2	C_NFIC	10718	0.70609	2669	0.76168	2712	-0.02415	6.14547E-45
NFYA_MA0060.3	NFYA	MA0060.3	C_NFYA	8240	1.28732	4240	1.38468	4313	0.01592	8.31952E-28
NR2F2_MA1111.1	NR2F2	MA1111.1	C_Nr1H2	10598	0.68674	2455	0.73536	2507	-0.01772	1.64791E-35
PAX5_MA0014.3	PAX5	MA0014.3	C_PAX5	4578	0.96862	1848	1.03209	1935	-0.00458	3.76923E-03
PBX3_MA1114.1	PBX3	MA1114.1	C_PBX3	13091	0.83111	4072	0.88563	4244	-0.02411	4.83507E-43
POU5F1_MA1115.1	POU5F1	MA1115.1	C_POU2F3	15376	0.54798	2390	0.57532	2271	0.00637	1.89615E-11
RBPJ_MA1116.1	RBPJ	MA1116.1	C_RBPJ	18684	0.79128	5514	0.83947	5665	-0.00027	1.34166E-01
RELB_MA1117.1	RELB	MA1117.1	C_RELB	8321	0.7476	2201	0.79276	2239	4e-05	7.82953E-02
SIX1_MA1118.1	SIX1	MA1118.1	C_SIX2	8832	0.69156	2108	0.73956	2154	-0.01964	1.11482E-38
SIX2_MA1119.1	SIX2	MA1119.1	C_SIX2	12255	0.66464	2719	0.71223	2759	-0.02487	7.26379E-52
SOX10_MA0442.2	SOX10	MA0442.2	C_SOX4	17814	0.66647	3952	0.69759	3864	0.01489	5.28821E-43
SOX13_MA1120.1	SOX13	MA1120.1	C_Sox17	8801	0.70162	2149	0.72355	1991	0.02146	1.05324E-34
TEAD2_MA1121.1	TEAD2	MA1121.1	C_TEAD4	13053	0.76386	3441	0.79733	3418	0.02644	9.21045E-48
TFDP1_MA1122.1	TFDP1	MA1122.1	C_E2F6	13240	1.11105	6608	1.15068	6846	0.09403	8.34608E-108
ZBTB7A_MA0750.2	ZBTB7A	MA0750.2	C_ETS1	14321	1.14489	7461	1.20666	7803	0.04704	2.65526E-73
ZEB1_MA0103.3	ZEB1	MA0103.3	C_TCF3	19383	0.88942	6926	0.95435	7317	-0.00873	5.12366E-23
ZNF24_MA1124.1	ZNF24	MA1124.1	C_ZNF24	14031	0.67353	2646	0.69232	2508	-0.00413	1.45787E-07
ZNF384_MA1125.1	ZNF384	MA1125.1	C_ZNF384	31695	0.43694	2669	0.45373	2341	0.02994	1.35874E-78
ZNF282_MA1154.1	ZNF282	MA1154.1	C_ZNF282	9601	0.704	2278	0.7547	2300	-0.0242	8.31706E-43
ZSCAN4_MA1155.1	ZSCAN4	MA1155.1	C_ZSCAN4	13678	0.74852	3804	0.78671	3781	-0.01561	1.05240E-36
FOSJUN_MA0099.3	FOS::JUN	MA0099.3	C_FOSL1	11522	1.03931	5226	1.05873	5269	0.08848	2.87674E-99
FOSJUN_MA1126.1	FOS::JUN	MA1126.1	C_FOSL2::JUNB	5494	0.84924	1730	0.89797	1785	0.0056	5.40632E-05
FOSBJUN_MA1127.1	FOSB::JUN	MA1127.1	C_FOSL2::JUNB	4321	0.96752	1685	1.02707	1747	0.0079	3.06788E-06
FOSL1JUN_MA1128.1	FOSL1::JUN	MA1128.1	C_FOSL1	13034	1.02168	5787	1.04264	5834	0.08147	1.79157E-97
FOSL1JUN_MA1129.1	FOSL1::JUN	MA1129.1	C_FOSL2::JUNB	3005	0.99779	1227	1.06803	1290	0.01213	1.09794E-07
FOSL2JUN_MA1130.1	FOSL2::JUN	MA1130.1	C_FOSL1	11877	1.04101	5423	1.06297	5485	0.08052	4.55613E-94
FOSL2JUN_MA1131.1	FOSL2::JUN	MA1131.1	C_FOSL2::JUNB	4835	0.97801	1955	1.03552	2027	0.00817	8.00836E-12
JUNJUNB_MA1132.1	JUN::JUNB	MA1132.1	C_FOSL1	9985	1.00207	4289	1.02564	4331	0.08415	1.55949E-94
JUNJUNB_MA1133.1	JUN::JUNB	MA1133.1	C_FOSL2::JUNB	4257	0.96972	1694	1.03387	1750	-0.00511	8.08908E-04
FOSJUNB_MA1134.1	FOS::JUNB	MA1134.1	C_FOSL1	11358	1.04562	5220	1.06383	5239	0.09045	2.97353E-97
FOSBJUNB_MA1135.1	FOSB::JUNB	MA1135.1	C_FOSL1	11616	1.03993	5283	1.05829	5303	0.0893	5.42351E-102
FOSBJUNB_MA1136.1	FOSB::JUNB	MA1136.1	C_FOSL2::JUNB	3333	1.02641	1423	1.09361	1486	0.0108	3.77536E-07
FOSL1JUNB_MA1137.1	FOSL1::JUNB	MA1137.1	C_FOSL1	12401	0.99058	5295	1.01047	5319	0.07763	1.91224E-94
FOSL2JUNB_MA1138.1	FOSL2::JUNB	MA1138.1	C_FOSL1	11808	1.0312	5303	1.04909	5322	0.08764	1.74906E-99
FOSL2JUNB_MA1139.1	FOSL2::JUNB	MA1139.1	C_FOSL2::JUNB	3262	1.01137	1359	1.08126	1431	-0.00111	1.28379E-01
FOSJUND_MA1141.1	FOS::JUND	MA1141.1	C_FOSL1	12935	1.03706	5866	1.05857	5914	0.08242	7.62007E-97
FOSL1JUND_MA1142.1	FOSL1::JUND	MA1142.1	C_FOSL1	12250	0.97278	5120	0.9912	5081	0.07736	4.55688E-94
FOSL1JUND_MA1143.1	FOSL1::JUND	MA1143.1	C_FOSL1::JUND	4369	0.96064	1681	1.02125	1757	0.01236	1.38424E-14
FOSL2JUND_MA1144.1	FOSL2::JUND	MA1144.1	C_FOSL1	11483	1.04181	5232	1.06035	5257	0.08903	3.15997E-100
FOSL2JUND_MA1145.1	FOSL2::JUND	MA1145.1	C_FOSL2::JUNB	4545	0.99028	1822	1.05031	1917	0.0117	1.51804E-16
NR1H4RXRA_MA1146.1	NR1H4::RXRA	MA1146.1	C_NR2F1	4947	0.75025	1259	0.79658	1310	-0.0077	3.72330E-09
NR4A2RXRA_MA1147.1	NR4A2::RXRA	MA1147.1	C_NR2F1	4823	0.75148	1295	0.79725	1333	0.0073	4.61856E-08
PPARARXRA_MA1148.1	PPARA::RXRA	MA1148.1	C_PPARA::RXRA	12419	0.68572	2904	0.73252	2941	-0.0132	1.01353E-28
RARARXRG_MA1149.1	RARA::RXRG	MA1149.1	C_RARA::RXRG	9336	0.79086	2757	0.84529	2846	-0.01983	1.13025E-35
RORB_MA1150.1	RORB	MA1150.1	C_RORB	7257	0.63565	1507	0.67735	1444	-0.01846	9.62743E-30
RORC_MA1151.1	RORC	MA1151.1	C_RORA	6957	0.61829	1376	0.66191	1349	-0.03337	2.27643E-47
SOX15_MA1152.1	SOX15	MA1152.1	C_SOX15	20479	0.55863	3240	0.57803	2910	0.02582	7.73847E-58
Smad4_MA1153.1	Smad4	MA1153.1	C_Smad4	7646	0.6619	1735	0.70392	1743	-0.00632	1.69300E-04
IRF3_MA1418.1	IRF3	MA1418.1	C_IRF3	18997	0.61233	3516	0.65277	3533	-0.00355	8.90532E-08
IRF4_MA1419.1	IRF4	MA1419.1	C_Irf1	7605	0.6732	1666	0.73363	1822	-0.03395	2.15927E-47
IRF5_MA1420.1	IRF5	MA1420.1	C_IRF5	6415	0.70524	1550	0.74539	1591	0.01437	1.09096E-20
TCF7L1_MA1421.1	TCF7L1	MA1421.1	C_TCF7L1	15645	0.69479	3329	0.73063	3233	0.02389	1.39882E-49
ARGFX_MA1463.1	ARGFX	MA1463.1	C_EMX1	6631	0.50413	851	0.53049	826	-0.0085	3.25912E-06
ARNT2_MA1464.1	ARNT2	MA1464.1	C_ARNT2	3359	1.07007	1557	1.13065	1627	0.03146	2.42205E-35
ATF6_MA1466.1	ATF6	MA1466.1	C_CREB3	3893	0.95396	1536	1.01421	1601	-0.00191	2.25064E-02
ATOH7_MA1468.1	ATOH7	MA1468.1	C_Atoh1	4701	0.62735	920	0.67944	948	-0.0483	2.27281E-53
BACH2_MA1101.2	BACH2	MA1101.2	C_FOSL1	8958	0.95087	3606	0.97336	3645	0.07674	4.66779E-80
BACH2_MA1470.1	BACH2	MA1470.1	C_BACH2	4269	0.70842	991	0.73873	984	0.02128	8.33021E-23
BARX2_MA1471.1	BARX2	MA1471.1	C_BARX2	13856	0.51408	1556	0.52516	1481	0.01316	1.82989E-29
CDX4_MA1473.1	CDX4	MA1473.1	C_HOXA10	11907	0.60981	1991	0.62787	1857	0.0074	2.49143E-15
CREB3L4_MA1474.1	CREB3L4	MA1474.1	C_CREB3	4091	1.02875	1781	1.09206	1879	0.00763	3.62805E-06
CREB3L4_MA1475.1	CREB3L4	MA1475.1	C_FOSL2::JUNB	2714	1.24871	1493	1.34116	1592	0.01964	9.87541E-15
DMRTA2_MA1478.1	DMRTA2	MA1478.1	C_DMRTA1	7484	0.54239	1121	0.57511	1067	-0.01611	2.27577E-21
DMRTC2_MA1479.1	DMRTC2	MA1479.1	C_DMRTA1	8367	0.53286	1165	0.56618	1114	-0.01402	1.23763E-27
DPRX_MA1480.1	DPRX	MA1480.1	C_DPRX	4827	0.60573	901	0.64535	899	-0.0356	1.50307E-40
DRGX_MA1481.1	DRGX	MA1481.1	C_EMX1	6060	0.52686	829	0.55955	812	-0.02393	4.01939E-34
ETS2_MA1484.1	ETS2	MA1484.1	C_ETS1	7024	1.15231	3712	1.21299	3874	0.0452	1.26240E-67
FERD3L_MA1485.1	FERD3L	MA1485.1	C_FERD3L	8039	0.8954	2873	0.95499	2993	-0.01288	2.43234E-21
FOXN3_MA1489.1	FOXN3	MA1489.1	C_FOXN3	16927	0.5997	3089	0.62817	2931	0.0215	2.34574E-49
HES6_MA1493.1	HES6	MA1493.1	C_HES6	4309	0.85573	1429	0.91405	1485	-0.0128	3.78967E-14
HNF4A_MA1494.1	HNF4A	MA1494.1	C_HNF4A	8840	0.74303	2390	0.80229	2473	-0.02357	4.54241E-41
HOXA1_MA1495.1	HOXA1	MA1495.1	C_EMX1	3410	0.5279	484	0.55473	470	-0.01139	2.64433E-10
HOXA4_MA1496.1	HOXA4	MA1496.1	C_HOXD3	6031	0.61665	1072	0.65137	1076	-0.01184	1.08652E-15
HOXA6_MA1497.1	HOXA6	MA1497.1	C_HOXC8	5645	0.56843	910	0.59497	885	-0.00456	9.23147E-06
HOXB4_MA1499.1	HOXB4	MA1499.1	C_HOXD3	7084	0.57966	1111	0.61033	1087	-0.00506	1.00524E-05
HOXB6_MA1500.1	HOXB6	MA1500.1	C_HOXC8	4624	0.58932	814	0.62245	803	-0.00421	1.15889E-01
HOXB7_MA1501.1	HOXB7	MA1501.1	C_HOXC8	4998	0.59078	890	0.62036	866	0.00361	5.51105E-02
HOXB8_MA1502.1	HOXB8	MA1502.1	C_HOXC8	4569	0.62314	890	0.65156	869	0.01603	6.51321E-21
HOXB9_MA1503.1	HOXB9	MA1503.1	C_HOXC10	5030	0.62604	998	0.64812	940	0.02453	1.16717E-35
HOXC4_MA1504.1	HOXC4	MA1504.1	C_HOXD3	7304	0.58615	1205	0.61814	1192	-0.00984	1.21939E-10
HOXC8_MA1505.1	HOXC8	MA1505.1	C_HOXC8	3536	0.52919	517	0.56196	482	-0.03609	6.17932E-40
HOXD10_MA1506.1	HOXD10	MA1506.1	C_HOXC10	4897	0.62651	989	0.6486	948	0.03708	1.65370E-44
HOXD4_MA1507.1	HOXD4	MA1507.1	C_HOXD3	7641	0.56896	1160	0.59758	1127	-0.00165	1.96710E-01
IKZF1_MA1508.1	IKZF1	MA1508.1	C_ETV2	28423	0.6923	6872	0.74174	7103	-0.00911	2.25146E-32
IRF6_MA1509.1	IRF6	MA1509.1	C_IRF6	3072	0.91004	884	0.94837	954	-0.04599	5.98387E-45
KLF11_MA1512.1	KLF11	MA1512.1	C_SP3	22336	1.1147	11157	1.16462	11608	0.06555	1.17565E-98
KLF15_MA1513.1	KLF15	MA1513.1	C_KLF15	31488	1.231	18015	1.28171	18901	0.10122	8.34811E-122
KLF17_MA1514.1	KLF17	MA1514.1	C_KLF17	16276	0.90332	5633	0.94765	5813	0.02165	4.59530E-48
KLF2_MA1515.1	KLF2	MA1515.1	C_KLF2	28221	1.1204	14181	1.17005	14817	0.07019	6.56821E-112
KLF3_MA1516.1	KLF3	MA1516.1	C_KLF2	17264	1.14361	8920	1.19871	9407	0.0661	9.53590E-98
